Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth,SBP_Ground_Truth,DBP_Ground_Truth,Body_Temperature_Ground_Truth,Respiratory_Rate_Ground_Truth,HR_Ground_Truth
0.0000,58728,95915,93,3853,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0025,58715,95932,102,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0050,58703,95909,103,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0075,58709,95925,85,1693,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0100,58707,95924,84,488,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0125,58702,95925,105,80,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0150,58711,95918,86,31,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0175,58716,95931,86,1086,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0200,58714,95912,95,3912,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0225,58716,95927,86,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0250,58715,95910,110,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0275,58717,95906,84,1791,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0300,58715,95928,111,525,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0325,58722,95931,88,88,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0350,58709,95938,99,32,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0375,58710,95943,80,1308,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0400,58706,95933,95,4012,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0425,58715,95933,85,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0450,58725,95933,88,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0475,58722,95931,94,1708,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0500,58720,95927,92,500,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0525,58721,95935,97,82,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0550,58711,95933,99,28,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0575,58725,95938,92,1078,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0600,58718,95946,92,3920,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0625,58723,95949,95,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0650,58719,95949,82,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0675,58732,95949,86,1650,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0700,58729,95942,95,480,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0725,58737,95953,82,80,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0750,58726,95959,88,27,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0775,58719,95940,92,1015,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0800,58717,95952,97,3868,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0825,58719,95935,102,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0850,58720,95932,88,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0875,58724,95951,91,1722,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0900,58738,95950,100,498,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0925,58724,95953,95,83,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0950,58724,95959,83,27,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.0975,58724,95962,79,1196,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1000,58729,95952,86,3977,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1025,58722,95958,88,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1050,58723,95965,92,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1075,58720,95946,101,1727,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1100,58731,95954,99,504,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1125,58725,95957,96,82,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1150,58719,95958,97,27,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1175,58725,95953,96,1086,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1200,58724,95956,93,3920,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1225,58727,95964,90,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1250,58723,95954,96,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1275,58732,95968,86,254,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1300,58727,95948,94,74,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1325,58719,95946,97,16,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1350,58721,95958,107,1072,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1375,58725,95956,83,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1400,58707,95949,77,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1425,58710,95955,77,3072,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1450,58760,95949,90,898,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1475,58742,95957,58,260,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1500,58730,95959,66,47,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1525,58713,95957,72,18,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1550,58722,95922,95,3018,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1575,58717,95942,93,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1600,58695,95967,90,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1625,58746,95944,85,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1650,58736,95961,95,1442,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1675,58732,95948,73,421,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1700,58723,95941,70,123,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1725,58700,95972,80,39,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1750,58713,95974,79,2434,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1775,58729,95952,86,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1800,58742,95944,109,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1825,58722,95943,99,4095,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1850,58728,95969,95,2200,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1875,58715,95975,76,347,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1900,58731,95968,96,104,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1925,58719,95984,95,21,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
0.1950,58726,95980,95,1109,28.82,31.2,99.0,105.0,71.0,36.4,20.0,80.0
