Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth,SBP_Ground_Truth,DBP_Ground_Truth,Body_Temperature_Ground_Truth,Respiratory_Rate_Ground_Truth,HR_Ground_Truth
0.0000,82944,95394,91,13,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0025,82919,95291,76,249,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0050,82907,95136,92,3000,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0075,82885,94943,97,3481,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0100,82839,94772,88,1793,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0125,82798,94570,97,564,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0150,82728,94399,106,91,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0175,82689,94258,99,32,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0200,82631,94103,96,14,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0225,82617,93989,102,131,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0250,82574,93869,92,2664,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0275,82537,93775,95,3252,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0300,82526,93662,74,1791,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0325,82494,93494,86,568,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0350,82437,93298,85,92,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0375,82361,93065,88,30,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0400,82261,92823,90,13,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0425,82148,92512,95,198,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0450,82007,92210,84,2918,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0475,81832,91836,95,3480,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0500,81625,91429,81,1718,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0525,81389,90964,94,552,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0550,81130,90489,89,87,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0575,80862,89986,87,29,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0600,80572,89505,84,8,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0625,80296,88986,101,245,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0650,80023,88497,89,2972,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0675,79698,87925,81,3518,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0700,79342,87365,88,2020,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0725,79050,86864,101,748,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0750,78749,86378,99,117,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0775,78479,85970,93,38,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0800,78236,85595,88,12,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0825,77997,85219,92,225,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0850,77717,84764,94,2964,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0875,77414,84335,87,3654,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0900,77160,83940,86,2180,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0925,76916,83537,81,867,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0950,76596,83077,85,131,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.0975,76351,82711,88,41,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1000,76100,82327,99,11,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1025,75813,81922,101,393,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1050,75556,81538,86,3472,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1075,75330,81251,87,4053,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1100,75116,80918,84,2416,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1125,74935,80673,88,1079,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1150,74889,80577,90,166,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1175,74886,80555,89,54,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1200,74835,80430,90,13,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1225,74799,80338,87,1457,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1250,74713,80194,80,3427,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1275,74550,79919,102,3440,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1300,74380,79650,101,2217,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1325,74212,79340,98,488,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1350,73921,78910,95,142,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1375,73607,78466,90,26,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1400,73313,78087,78,14,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1425,73153,77846,86,1624,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1450,73062,77724,85,3684,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1475,73020,77672,92,3724,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1500,72981,77607,88,2440,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1525,72942,77504,91,562,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1550,72883,77409,91,160,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1575,72831,77296,87,30,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1600,72774,77247,80,14,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1625,72758,77217,94,1940,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1650,72741,77078,88,3882,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1675,72248,76432,89,3940,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1700,71968,76129,84,2604,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1725,71820,75962,90,763,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1750,71887,76086,89,231,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1775,72036,76278,91,37,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1800,72167,76404,83,16,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1825,72259,76504,95,1913,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1850,72362,76593,84,3929,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1875,72440,76664,92,3784,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1900,72414,76591,88,2556,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1925,72368,76500,89,766,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1950,72290,76374,86,220,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.1975,72192,76185,92,43,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2000,72060,75999,93,18,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2025,71966,75876,91,1864,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2050,71892,75752,81,3839,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2075,71767,75579,82,3730,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2100,71563,75271,107,2540,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2125,71464,75308,89,777,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2150,71684,75590,94,226,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2175,71941,75880,90,40,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2200,72097,76011,98,14,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2225,72065,75923,87,1797,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2250,71872,75638,86,4095,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2275,71563,75301,76,3384,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2300,71347,75142,79,2186,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2325,71411,75114,87,526,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2350,71433,75187,74,153,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2375,71344,75100,70,29,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2400,71291,75022,95,199,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2425,71316,75142,88,3388,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2450,71499,75419,74,4095,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2475,71855,75821,82,3930,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2500,72123,76150,77,2001,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2525,71627,75380,88,747,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2550,71115,74702,74,117,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2575,70686,74254,74,42,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2600,70554,74139,69,184,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2625,72259,76504,95,2274,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2650,70818,74453,104,4095,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2675,70902,74673,91,3942,27.32,30.91,99.0,105.0,68.0,36.4,21.0,81.0
0.2700,71148,74971,82,1956,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.2725,71330,75160,86,847,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.2750,71093,74832,90,134,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.2775,70926,74607,94,45,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.2800,70815,74491,89,42,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.2825,70754,74379,84,1465,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.2850,70603,74175,98,3848,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.2875,70415,73925,90,3888,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.2900,69835,73147,80,2578,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.2925,69490,72790,100,1097,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.2950,69381,72705,105,172,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.2975,69474,72844,97,56,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3000,69601,73026,104,182,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3025,69804,73272,93,2224,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3050,69987,73441,81,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3075,69960,73346,102,4057,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3100,69772,73180,87,2086,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3125,69826,73248,86,830,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3150,69862,73248,87,126,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3175,69621,72873,88,40,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3200,69395,72664,81,119,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3225,69307,72575,86,1986,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3250,69305,72522,89,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3275,69392,72691,96,4034,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3300,69535,72831,96,2043,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3325,69655,72974,97,849,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3350,69680,72999,81,133,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3375,69580,72858,84,41,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3400,69562,72855,97,358,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3425,69521,72828,80,2488,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3450,69488,72749,91,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3475,69359,72594,78,4080,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3500,69277,72539,90,2192,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3525,69339,72630,99,991,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3550,69456,72770,102,153,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3575,69555,72880,95,50,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3600,69544,72885,81,111,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3625,69524,72866,94,2024,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3650,69536,72912,84,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3675,69558,72910,92,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3700,69535,72878,91,2331,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3725,69400,72723,72,937,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3750,69358,72667,96,146,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3775,69327,72635,85,45,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3800,69253,72516,102,124,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3825,69191,72440,94,1910,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3850,68907,72053,84,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3875,68554,71660,92,3768,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3900,68382,71526,99,2154,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3925,68435,71606,92,1011,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3950,68540,71729,96,153,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.3975,68591,71777,103,45,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4000,68660,71880,84,88,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4025,68719,71970,91,1847,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4050,68777,72037,75,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4075,68834,72094,93,3280,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4100,68895,72158,100,2085,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4125,68938,72192,98,508,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4150,68910,72166,109,148,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4175,68827,72062,85,26,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4200,68744,71960,92,230,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4225,68705,71903,90,3296,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4250,68675,71881,91,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4275,68689,71906,74,3180,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4300,68709,71918,77,1976,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4325,68716,71923,88,464,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4350,68697,71898,90,137,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4375,68677,71892,97,25,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4400,68686,71888,100,194,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4425,68689,71905,105,3394,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4450,68675,71872,87,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4475,68644,71869,86,3550,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4500,68632,71833,93,2248,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4525,68606,71818,86,542,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4550,68566,71768,88,158,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4575,68547,71741,93,32,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4600,68540,71745,85,291,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4625,68556,71780,95,3627,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4650,68561,71786,86,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4675,68539,71751,81,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4700,68540,71762,93,3396,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4725,68565,71817,87,1580,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4750,68592,71844,82,462,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4775,68610,71882,88,81,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4800,68627,71892,90,1316,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4825,68632,71901,92,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4850,68624,71913,95,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4875,68619,71882,79,3918,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4900,68606,71875,85,2537,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4925,68575,71846,85,784,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4950,68545,71787,102,230,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.4975,68519,71753,102,42,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5000,68481,71739,102,555,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5025,68459,71706,81,3736,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5050,68441,71671,99,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5075,68422,71668,88,3436,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5100,68427,71670,97,2128,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5125,68415,71672,89,506,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5150,68408,71674,95,150,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5175,68413,71688,81,30,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5200,68440,71672,86,193,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5225,68434,71696,96,3276,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5250,68446,71705,115,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5275,68463,71733,96,3412,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5300,68483,71756,102,2138,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5325,68502,71785,75,510,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5350,68531,71813,86,150,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5375,68563,71850,91,29,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5400,68589,71892,95,124,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5425,68611,71915,84,3098,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5450,68598,71887,97,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5475,68588,71870,103,3234,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5500,68559,71850,85,1576,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5525,68545,71804,104,562,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5550,68502,71752,102,89,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5575,68452,71725,87,30,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5600,68456,71724,82,740,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5625,68460,71754,87,3088,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5650,68504,71796,82,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5675,68553,71862,81,4012,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5700,68614,71914,86,2096,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5725,68608,71914,96,735,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5750,68589,71898,91,116,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5775,68589,71919,90,40,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5800,68598,71946,98,1040,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5825,68627,71978,96,3530,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5850,68675,72039,107,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5875,68745,72117,81,4050,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5900,68795,72201,89,1968,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5925,68794,72192,94,658,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5950,68772,72150,90,113,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.5975,68708,72075,95,37,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6000,68704,72096,79,800,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6025,68761,72179,76,3241,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6050,68871,72301,93,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6075,68979,72429,84,3886,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6100,69061,72481,99,1970,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6125,69059,72485,105,726,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6150,68939,72355,101,114,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6175,68873,72270,83,39,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6200,68812,72187,79,849,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6225,68743,72090,81,3360,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6250,68653,72016,82,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6275,68617,71979,82,3890,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6300,68640,71998,85,2072,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6325,68662,72033,92,732,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6350,68699,72092,105,118,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6375,68715,72089,99,37,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6400,68683,72049,100,626,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6425,68676,72059,96,3152,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6450,68679,72051,94,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6475,68678,72045,76,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6500,68673,72061,92,2066,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6525,68679,72044,100,724,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6550,68667,72025,90,113,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6575,68646,72017,91,36,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6600,68630,71977,82,1075,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6625,68599,71932,90,3606,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6650,68549,71854,91,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6675,68506,71806,82,4095,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6700,68445,71742,99,2244,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6725,68392,71690,85,883,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6750,68371,71643,88,140,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
0.6775,68319,71612,106,44,27.32,31.01,99.0,105.0,68.0,36.4,21.0,81.0
